zip_code,vulnerability_index,vulnerability_theme1_socioeconomic,vulnerability_theme2_household,vulnerability_theme3_minority,vulnerability_theme4_housing,healthcare_access_score,telehealth_access_score
10001,0.007414,0.0056879999999999995,0.001692,0.00867,0.009806,0.969,0.927
10002,0.009656,0.009639,0.008781,0.009368999999999999,0.009254,0.946,0.762
10003,0.005373,0.0033889999999999997,0.000969,0.007977,0.009368,0.976,0.942
10004,0.002299,0.000252,0.0007689999999999999,0.008439,0.008558,0.997,0.994
10005,0.002437,0.000631,0.000427,0.007503999999999999,0.008496,0.988,0.967
10006,0.003555,0.00301,0.0007920000000000001,0.008028,0.006781000000000001,0.94,0.962
10007,0.003366,0.00039600000000000003,0.001026,0.008073,0.009527,0.996,0.985
10009,0.008721,0.007856,0.004821,0.008676,0.009516,0.972,0.854
10010,0.005247000000000001,0.0016170000000000002,0.002832,0.008135,0.008809,0.972,0.935
10011,0.005998,0.003005,0.0014069999999999998,0.007594,0.009829,0.979,0.948
10012,0.006508000000000001,0.004639,0.001048,0.007724,0.009852,0.96,0.951
10013,0.007873,0.006261,0.003499,0.008507,0.009442,0.959,0.892
10014,0.003997,0.002661,0.000667,0.0067269999999999995,0.008421999999999999,0.973,0.954
10016,0.004822,0.003033,0.000718,0.008355,0.009214,0.959,0.942
10017,0.006725999999999999,0.004874,0.002387,0.007769000000000001,0.008764,0.954,0.97
10018,0.007769000000000001,0.005889,0.0015840000000000001,0.008777,0.01,0.948,0.955
10019,0.007792,0.005396,0.003795,0.008461999999999999,0.009681,0.97,0.906
10020,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
10021,0.005195,0.001261,0.0032990000000000003,0.0062309999999999996,0.009544,0.988,0.943
10022,0.004438,0.0012389999999999999,0.002553,0.007048,0.008524,0.99,0.9339999999999999
10023,0.006325,0.0029189999999999997,0.003527,0.0076619999999999995,0.009031,0.968,0.944
10024,0.005952,0.001778,0.004764,0.006935,0.009083,0.979,0.947
10025,0.008607,0.007437,0.005533,0.008546,0.009389999999999999,0.959,0.908
10026,0.009123,0.009019000000000001,0.00547,0.009459,0.009174,0.942,0.889
10027,0.009312,0.009507,0.005197,0.009341,0.009527,0.947,0.848
10028,0.004209,0.001697,0.0018859999999999999,0.006462,0.00808,0.98,0.97
10029,0.009788,0.009851,0.009094,0.009606,0.009476,0.933,0.771
10030,0.009828,0.009891,0.008245,0.009741,0.009897,0.919,0.863
10031,0.009323,0.009759,0.005083,0.009561,0.008952,0.914,0.89
10032,0.009771,0.009908,0.008957,0.009617,0.009282,0.909,0.837
10033,0.009649999999999999,0.009753,0.0072250000000000005,0.009414,0.009783,0.911,0.894
10034,0.009541,0.009627,0.00906,0.009532,0.008107999999999999,0.9299999999999999,0.867
10035,0.009914,0.009903,0.009692,0.009656,0.009709,0.9259999999999999,0.7110000000000001
10036,0.00801,0.006491,0.003328,0.008659,0.00959,0.972,0.862
