Sample,State,Species,Age,Sex,Collection Date,Swab collected,IAV Matrix PCR,Blood Collected,bELISA s/n ratio,AST VN H5,BWTE VN H5,ELLA N1
LC-EESC-508,Rhode Island,GRSC,ASY,M,2/21/2023,Y,N/D,Y,0.27509706,<20,40,320
LC-EESC-509,Rhode Island,GRSC,ASY,M,2/21/2023,Y,N/D,Y,0.371602884,20,320,80
LC-EESC-510,Rhode Island,GRSC,ASY,M,2/21/2023,Y,N/D,Y,0.079866889,320,1280,1280
LC-EESC-511,Rhode Island,GRSC,SY,F,2/22/2023,Y,N/D,Y,0.492512479,<20,<20,<20
LC-EESC-512,Rhode Island,GRSC,ASY,M,2/22/2023,Y,N/D,Y,0.15640599,40,20,160
LC-EESC-513,Rhode Island,GRSC,ASY,M,2/22/2023,Y,N/D,Y,NA,NA,NA,NA
LC-EESC-499,Rhode Island,GRSC,ASY,M,2/24/2023,Y,N/D,Y,NA,NA,NA,NA
LC-EESC-500,Rhode Island,GRSC,ASY,F,2/24/2023,Y,N/D,Y,0.55463117,NA,NA,NA
LC-EESC-501,Rhode Island,GRSC,ASY,M,2/24/2023,Y,N/D,N,NA,NA,NA,NA
LC-EESC-502,Rhode Island,GRSC,ASY,M,2/24/2023,Y,N/D,Y,0.566833056,<20,80,160
LC-EESC-514,Rhode Island,GRSC,ASY,M,2/24/2023,Y,N/D,Y,0.13754853,80,1280,640
LC-EESC-515,Rhode Island,GRSC,SY,F,2/24/2023,Y,N/D,Y,0.149750416,80,40,640
LC-EESC-503,Rhode Island,GRSC,SY,M,2/25/2023,Y,N/D,Y,0.755407654,NA,NA,NA
LC-EESC-507,Rhode Island,GRSC,ASY,M,2/25/2023,Y,N/D,Y,0.697726012,<20,20,320
LC-EESC-285,Rhode Island,GRSC,ASY,M,2/26/2023,Y,N/D,Y,0.753189129,NA,NA,NA
LC-EESC-291,Rhode Island,GRSC,ASY,F,2/26/2023,Y,N/D,Y,0.295063783,80,>2560,80
LC-EESC-293,Rhode Island,GRSC,ASY,F,2/26/2023,Y,N/D,Y,0.173044925,20,>2560,640
LC-EESC-295,Rhode Island,GRSC,ASY,F,2/26/2023,Y,N/D,Y,0.261785912,<20,40,640
LC-EESC-504,Rhode Island,GRSC,ASY,F,2/26/2023,Y,N/D,Y,0.725457571,NA,NA,NA
LC-EESC-505,Rhode Island,GRSC,ASY,M,2/26/2023,Y,N/D,Y,0.445923461,<20,<20,80
LC-EESC-506,Rhode Island,GRSC,ASY,F,2/26/2023,Y,N/D,Y,0.128674432,<20,<20,40
LC-EESC-286,Rhode Island,GRSC,ASY,F,2/27/2023,Y,N/D,N,NA,NA,NA,NA
LC-EESC-289,Rhode Island,GRSC,ASY,M,2/27/2023,Y,N/D,N,NA,NA,NA,NA
LC-EESC-292,Rhode Island,GRSC,ASY,F,2/27/2023,Y,N/D,Y,0.10427066,80,1280,160
LC-EESC-294,Rhode Island,GRSC,ASY,F,2/27/2023,Y,N/D,Y,0.36494731,<20,320,40
LC-EESC-298,Rhode Island,GRSC,ASY,M,2/27/2023,Y,N/D,Y,0.55463117,<20,20,40
LC-EESC-287,Rhode Island,GRSC,ASY,M,3/5/2023,Y,N/D,Y,0.530227399,20,160,320
LC-EESC-290,Rhode Island,GRSC,ASY,M,3/5/2023,Y,N/D,Y,0.0854132,320,320,1280
LC-EESC-296,Rhode Island,GRSC,ASY,M,3/5/2023,Y,N/D,Y,0.084303938,<20,80,640
LC-EESC-001,Maryland,LESC,AHY,M,12/30/2021,Y,N/D,Y,0.616,<20,40,80
LC-EESC-002,Maryland,LESC,AHY,M,12/30/2021,Y,N/D,Y,0.326,<20,<20,40
LC-EESC-003,Maryland,LESC,HY,F,12/30/2021,Y,N/D,Y,0.458,<20,40,80
LC-EESC-004,Maryland,LESC,AHY,M,12/30/2021,Y,N/D,Y,0.768,NA,NA,NA
LC-EESC-005,Maryland,LESC,AHY,M,1/6/2022,Y,N/D,Y,0.776,NA,NA,NA
LC-EESC-006,Maryland,LESC,HY,F,1/6/2022,Y,N/D,Y,0.779,NA,NA,NA
LC-EESC-007,Maryland,LESC,HY,F,1/6/2022,Y,N/D,Y,0.798,NA,NA,NA
LC-EESC-008,Maryland,LESC,HY,F,1/6/2022,Y,N/D,Y,0.762,NA,NA,NA
LC-EESC-009,Maryland,LESC,AHY,F,1/10/2022,Y,N/D,Y,0.336,<20,<20,80
LC-EESC-010,Maryland,LESC,AHY,M,1/10/2022,Y,N/D,Y,0.26,<20,<20,<20
LC-EESC-011,Maryland,LESC,AHY,F,1/10/2022,Y,N/D,Y,0.39,<20,<20,<20
LC-EESC-012,Maryland,LESC,AHY,F,1/10/2022,Y,N/D,Y,0.681,<20,<20,<20
LC-EESC-013,Maryland,LESC,SY,F,1/13/2022,Y,N/D,Y,1.74,NA,NA,NA
LC-EESC-014,Maryland,LESC,ASY,F,1/13/2022,Y,N/D,Y,0.645,<20,<20,<20
LC-EESC-015,Maryland,LESC,SY,F,1/13/2022,Y,N/D,Y,0.547,<20,<20,20
LC-EESC-016,Maryland,LESC,ASY,F,1/14/2022,Y,N/D,Y,0.399,<20,<20,80
LC-EESC-017,Maryland,LESC,ASY,F,1/18/2022,Y,N/D,Y,0.093,<20,<20,<20
LC-EESC-018,Maryland,LESC,ASY,F,1/18/2022,Y,N/D,Y,0.24,<20,20,320
LC-EESC-019,Maryland,LESC,SY,M,1/20/2022,Y,N/D,Y,0.502,<20,<20,<20
LC-EESC-020,Maryland,LESC,SY,M,1/23/2022,Y,N/D,Y,0.737,NA,NA,NA
LC-EESC-021,Maryland,LESC,ASY,M,1/23/2022,Y,N/D,Y,0.116,<20,<20,<20
LC-EESC-022,Maryland,LESC,ASY,M,1/23/2022,Y,N/D,Y,0.265,<20,<20,160
LC-EESC-023,Maryland,LESC,ASY,F,1/23/2022,Y,N/D,Y,0.304,<20,40,80
LC-EESC-024,Maryland,LESC,ASY,M,1/23/2022,Y,30.89,Y,0.819,NA,NA,NA
LC-EESC-025,Maryland,LESC,ASY,M,1/24/2022,Y,N/D,Y,0.148,<20,<20,160
LC-EESC-077,Illinois,LESC,AHY,F,3/24/2022,Y,N/D,Y,0.153,<20,80,<20
LC-EESC-078,Illinois,LESC,AHY,M,3/24/2022,Y,N/D,Y,0.161,<20,<20,160
LC-EESC-079,Illinois,LESC,AHY,M,3/24/2022,Y,N/D,Y,0.096,40,320,320
LC-EESC-080,Illinois,LESC,AHY,M,3/24/2022,Y,N/D,Y,0.081,80,640,320
LC-EESC-081,Illinois,LESC,AHY,M,3/25/2022,Y,N/D,Y,0.367,<20,<20,80
LC-EESC-082,Illinois,LESC,AHY,M,3/25/2022,Y,N/D,Y,0.117,<20,20,320
LC-EESC-083,Illinois,LESC,AHY,F,3/25/2022,Y,N/D,Y,0.607,<20,<20,160
LC-EESC-084,Illinois,LESC,AHY,M,3/26/2022,Y,N/D,Y,0.512,<20,<20,80
LC-EESC-085,Illinois,LESC,AHY,M,3/26/2022,Y,N/D,Y,0.895,NA,NA,NA
LC-EESC-086,Illinois,LESC,AHY,M,3/26/2022,Y,N/D,Y,0.235,<20,20,160
LC-EESC-087,Illinois,LESC,AHY,M,3/26/2022,Y,N/D,Y,0.873,NA,NA,NA
LC-EESC-088,Illinois,LESC,AHY,M,3/26/2022,Y,N/D,Y,0.88,NA,NA,NA
LC-EESC-089,Illinois,LESC,AHY,M,3/27/2022,Y,N/D,Y,0.101,160,320,640
LC-EESC-090,Illinois,LESC,AHY,M,3/27/2022,Y,N/D,Y,0.088,20,640,1280
LC-EESC-091,Illinois,LESC,AHY,M,3/27/2022,Y,N/D,Y,0.089,<20,<20,320
LC-EESC-092,Illinois,LESC,AHY,F,3/27/2022,Y,N/D,Y,0.784,NA,NA,NA
LC-EESC-093,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.49,<20,<20,160
LC-EESC-094,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.07,160,<20,>2560
LC-EESC-095,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.057,1280,>2560,>2560
LC-EESC-096,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.932,NA,NA,NA
LC-EESC-097,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.583,<20,20,160
LC-EESC-098,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.099,20,1280,320
LC-EESC-099,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.14,<20,<20,<20
LC-EESC-100,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.104,80,<20,>2560
LC-EESC-101,Illinois,LESC,AHY,F,3/28/2022,Y,N/D,Y,0.769,NA,NA,NA
LC-EESC-791,Maryland,LESC,AHY,M,12/20/2022,Y,N/D,Y,0.427066001,20,<20,320
LC-EESC-792,Maryland,LESC,AHY,M,12/20/2022,Y,N/D,Y,0.249584027,<20,<20,40
LC-EESC-793,Maryland,LESC,AHY,M,12/20/2022,Y,N/D,Y,0.079866889,320,20,1280
LC-EESC-794,Maryland,LESC,HY,F,12/20/2022,Y,N/D,Y,0.719911259,NA,NA,NA
LC-EESC-795,Maryland,LESC,HY,M,12/21/2022,Y,N/D,Y,0.247365502,80,<20,320
LC-EESC-796,Maryland,LESC,AHY,F,12/21/2022,Y,N/D,Y,0.084303938,<20,<20,1280
LC-EESC-797,Maryland,LESC,AHY,M,12/21/2022,Y,N/D,Y,0.0854132,>2560,40,640
LC-EESC-798,Maryland,LESC,AHY,M,12/21/2022,Y,N/D,Y,0.255130338,<20,NA,80
LC-EESC-799,Maryland,LESC,HY,M,12/29/2022,Y,N/D,Y,0.095396561,40,<20,1280
LC-EESC-800,Maryland,LESC,SY,M,1/5/2023,Y,N/D,Y,0.165280089,80,<20,>2560
LC-EESC-801,Maryland,LESC,SY,M,1/5/2023,Y,N/D,Y,0.147531891,40,<20,160
LC-EESC-802,Maryland,LESC,ASY,M,1/6/2023,Y,N/D,Y,0.173044925,<20,20,160
LC-EESC-803,Maryland,LESC,ASY,F,1/15/2023,Y,N/D,Y,0.686633389,<20,<20,<20
LC-EESC-804,Maryland,LESC,SY,M,1/17/2023,Y,N/D,Y,0.935108153,NA,NA,NA
LC-EESC-805,Maryland,LESC,SY,F,1/27/2023,Y,N/D,Y,0.933998891,NA,NA,NA
